6Be ground state 

50x50 matrix of 2d correlation, where bottom left is cosTheta=-1,Epp/Etotal =0
and top right is cosTheta=1,Epp/Etotal=1
13 18 20 32 34 30 24 35 37 40 49 41 45 35 56 63 61 56 65 50 57 55 54 68 68 68 68 54 55 57 50 65 56 61 63 56 35 45 41 49 40 37 35 24 30 34 32 20 18 13 
18 17 15 30 34 25 39 35 44 44 40 49 52 43 51 51 52 55 57 54 56 64 56 60 51 51 60 56 64 56 54 57 55 52 51 51 43 52 49 40 44 44 35 39 25 34 30 15 17 18 
9 20 21 25 37 24 30 36 39 39 41 42 44 39 63 54 50 59 67 55 56 68 70 67 69 69 67 70 68 56 55 67 59 50 54 63 39 44 42 41 39 39 36 30 24 37 25 21 20 9 
3 11 18 18 29 23 22 33 30 37 37 44 45 49 56 53 55 67 54 60 51 58 46 66 69 69 66 46 58 51 60 54 67 55 53 56 49 45 44 37 37 30 33 22 23 29 18 18 11 3 
9 6 15 16 17 27 31 24 36 35 30 39 37 45 41 53 53 54 56 59 63 68 68 58 57 57 58 68 68 63 59 56 54 53 53 41 45 37 39 30 35 36 24 31 27 17 16 15 6 9 
5 4 8 21 22 19 22 24 32 46 38 42 55 48 44 48 54 36 54 54 72 68 64 52 69 69 52 64 68 72 54 54 36 54 48 44 48 55 42 38 46 32 24 22 19 22 21 8 4 5 
6 7 9 13 20 22 22 28 31 37 34 37 35 53 48 59 46 57 43 61 60 77 51 66 73 73 66 51 77 60 61 43 57 46 59 48 53 35 37 34 37 31 28 22 22 20 13 9 7 6 
0 0 11 7 23 17 25 25 29 34 27 41 35 41 50 49 57 66 63 57 68 56 67 60 68 68 60 67 56 68 57 63 66 57 49 50 41 35 41 27 34 29 25 25 17 23 7 11 0 0 
0 5 6 11 10 21 25 22 26 39 29 34 41 39 49 62 53 73 58 64 66 54 58 59 67 67 59 58 54 66 64 58 73 53 62 49 39 41 34 29 39 26 22 25 21 10 11 6 5 0 
0 0 5 6 14 21 16 16 26 31 38 52 47 40 49 56 42 56 52 66 57 74 66 48 56 56 48 66 74 57 66 52 56 42 56 49 40 47 52 38 31 26 16 16 21 14 6 5 0 0 
0 3 9 8 17 16 19 30 28 40 36 40 52 54 46 42 46 64 55 56 66 51 72 51 80 80 51 72 51 66 56 55 64 46 42 46 54 52 40 36 40 28 30 19 16 17 8 9 3 0 
0 0 1 5 11 15 19 21 28 25 26 33 45 50 47 41 41 54 55 57 69 59 63 70 54 54 70 63 59 69 57 55 54 41 41 47 50 45 33 26 25 28 21 19 15 11 5 1 0 0 
1 0 3 5 14 19 25 29 32 33 35 45 61 41 62 53 59 46 80 62 63 64 54 56 62 62 56 54 64 63 62 80 46 59 53 62 41 61 45 35 33 32 29 25 19 14 5 3 0 1 
1 2 3 6 14 14 22 23 31 32 33 39 43 50 54 47 65 65 52 63 57 62 66 77 64 64 77 66 62 57 63 52 65 65 47 54 50 43 39 33 32 31 23 22 14 14 6 3 2 1 
0 0 2 6 9 15 19 28 30 28 37 32 38 43 54 53 47 46 49 75 62 74 69 70 51 51 70 69 74 62 75 49 46 47 53 54 43 38 32 37 28 30 28 19 15 9 6 2 0 0 
0 0 3 13 13 16 17 16 21 39 32 33 27 33 35 60 50 49 75 63 71 73 79 74 63 63 74 79 73 71 63 75 49 50 60 35 33 27 33 32 39 21 16 17 16 13 13 3 0 0 
1 0 2 11 15 8 24 25 25 26 30 25 44 35 48 51 66 68 59 72 67 71 76 67 61 61 67 76 71 67 72 59 68 66 51 48 35 44 25 30 26 25 25 24 8 15 11 2 0 1 
0 0 1 9 13 7 16 26 26 32 41 40 35 54 38 60 63 57 62 62 83 78 73 78 77 77 78 73 78 83 62 62 57 63 60 38 54 35 40 41 32 26 26 16 7 13 9 1 0 0 
0 1 3 7 15 17 20 20 28 21 35 45 50 38 55 52 72 59 61 70 59 69 71 79 70 70 79 71 69 59 70 61 59 72 52 55 38 50 45 35 21 28 20 20 17 15 7 3 1 0 
0 2 3 6 16 24 17 26 30 30 40 34 51 33 40 46 54 65 67 67 61 62 73 82 75 75 82 73 62 61 67 67 65 54 46 40 33 51 34 40 30 30 26 17 24 16 6 3 2 0 
1 5 6 10 19 18 18 17 25 21 32 40 48 43 46 57 67 46 52 50 82 61 76 66 67 67 66 76 61 82 50 52 46 67 57 46 43 48 40 32 21 25 17 18 18 19 10 6 5 1 
3 6 6 11 11 21 27 22 33 34 40 36 25 52 52 46 59 63 64 70 59 71 81 90 71 71 90 81 71 59 70 64 63 59 46 52 52 25 36 40 34 33 22 27 21 11 11 6 6 3 
1 4 12 8 15 12 23 20 29 38 42 31 53 47 54 57 47 55 51 66 63 72 62 62 66 66 62 62 72 63 66 51 55 47 57 54 47 53 31 42 38 29 20 23 12 15 8 12 4 1 
2 6 8 10 20 19 22 28 27 38 33 42 42 42 59 51 46 53 61 61 51 76 59 66 73 73 66 59 76 51 61 61 53 46 51 59 42 42 42 33 38 27 28 22 19 20 10 8 6 2 
4 6 11 14 22 15 20 28 28 34 28 44 46 50 58 39 70 60 46 78 53 69 78 79 47 47 79 78 69 53 78 46 60 70 39 58 50 46 44 28 34 28 28 20 15 22 14 11 6 4 
7 11 14 12 20 19 23 28 35 33 34 36 42 43 50 53 57 54 54 72 56 75 69 76 60 60 76 69 75 56 72 54 54 57 53 50 43 42 36 34 33 35 28 23 19 20 12 14 11 7 
5 10 19 20 20 28 33 28 29 33 45 41 38 46 49 60 48 62 67 67 59 51 56 62 59 59 62 56 51 59 67 67 62 48 60 49 46 38 41 45 33 29 28 33 28 20 20 19 10 5 
14 11 22 21 29 17 23 36 43 38 39 39 39 42 44 53 48 41 49 62 66 63 54 67 63 63 67 54 63 66 62 49 41 48 53 44 42 39 39 39 38 43 36 23 17 29 21 22 11 14 
